Nome;Id. B2W;SKU Parceiro;Preço de;Preço por;Qtd. Estoque;Ean;Situação;Motivo Reprovação;mensagem
Kit shorts Marinho e Vermelho;1825032381;P14890S24B2W-3;R$ 69,00;R$ 69,00;3; ;"PUBLICADO;"; ;
Kit shorts Marinho e Vermelho;1825032381;P14890S24B2W-2;R$ 69,00;R$ 69,00;3; ;"PUBLICADO;"; ;
Kit shorts Marinho e Vermelho;1825032381;P14890S24B2W-1;R$ 69,00;R$ 69,00;2; ;"PUBLICADO;"; ;
Kit shorts Marinho e Vermelho;1825032381;P14890S24B2W-0;R$ 69,00;R$ 69,00;3; ;"PUBLICADO;"; ;
EXERCITADOR PARA DEDOS 3 - FORTE - 7LBS/ 3,18KG - AZUL - LIVEUP SPORTS;1825032525;P31278S63B2W;R$ 89,90;R$ 89,90;15; ;"PUBLICADO;"; ;
Camisa Sport Recife I 19/20 Torcedor Umbro Masculina Vermelho e Preto;1833904258;P47903S121B2W-2;R$ 199,99;R$ 199,99;3; ;"PUBLICADO;"; ;
Sapato Brogue Premium em Couro Confort;1956363551;P83200S157B2W-21;R$ 159,90;R$ 159,90;24; ;"PUBLICADO;"; ;
EXTENSOR ELÁSTICO 1 VIA C - FORTE - 17LBS / 7,71 KG - LIVEUP SPORTS;1862738885;P62756S63B2W;R$ 79,90;R$ 79,90;9; ;"PUBLICADO;"; ;
Par De Luva Amarela Latex Lava Louça, Multiuso Cozinha Casa;2066307523;4064222558745B2W;R$ 19,90;R$ 19,90;30;4064222558745;"PUBLICADO;"; ;
Camiseta Infantil Incrível Hulk MC;1965736567;P83589S131B2W-2;R$ 34,90;R$ 34,90;7; ;"PUBLICADO;"; ;
Camiseta Infantil Robocar Rosa;1965742983;P82106S131B2W-5;R$ 34,90;R$ 34,90;8; ;"PUBLICADO;"; ;
Conjunto com 2 quadros para decorar, Madame Capricho, vidro e moldura 23cm;2024863337;P102232S197B2W;R$ 89,90;R$ 89,90;15; ;"PUBLICADO;"; ;
Pijama Infantil Corujita Pjmasks PJML;1865579349;P61524S131B2W-7;R$ 84,90;R$ 84,90;3; ;"PUBLICADO;"; ;
Pijama Adulto Flash Símbolo PJMC;1865579672;P61549S131B2W-4;R$ 98,90;R$ 98,90;3; ;"PUBLICADO;"; ;
SACO PARA MAQUINA DE LAVAR 18X6;1862738914;P62328S118B2W;R$ 7,00;R$ 7,00;8; ;"PUBLICADO;"; ;
Máscara Descartável 02 Camadas sem clipe nasal - Caixa 50 Unidades;1818404925;P25691S97B2W;R$ 41,67;R$ 41,67;2; ;"PUBLICADO;"; ;
Cabo Adaptador Usb 3.0 19 Pinos F Para Usb 2.0 De 8 Pinos M;1818405160;6015053832878B2W;R$ 30,61;R$ 30,61;149;6015053832878;"PUBLICADO;"; ;
Kit 2 camisetas gola polo sortidas masculina;1818405223;P27271S92B2W-1;R$ 125,00;R$ 125,00;3; ;"PUBLICADO;"; ;
Kit 2 camisetas gola polo sortidas masculina;1818405223;P27271S92B2W-0;R$ 125,00;R$ 125,00;3; ;"PUBLICADO;"; ;
Corda de Pular PVC Preta;1818405338;P27634S63B2W;R$ 20,99;R$ 20,99;9; ;"PUBLICADO;"; ;
Conversor 3rca X Hdmi Av2hdmi Mini Adaptador 1080p Vídeo Hd;1818405362;2222222224295B2W;R$ 52,90;R$ 52,90;0;2222222224295;"SE;"; ;
Pasta Térmica Noctua Nt-h1 3,5g Para Ps3/ps4/gpu/cpu;1818405590;6015053833820B2W;R$ 86,73;R$ 86,73;0;6015053833820;"SE;"; ;
Kit 3 camisetas gola polo sortidas masculina;1818404757;P27257S92B2W-2;R$ 135,00;R$ 135,00;7; ;"PUBLICADO;"; ;
Kit 3 camisetas gola polo sortidas masculina;1818404757;P27257S92B2W-1;R$ 135,00;R$ 135,00;5; ;"PUBLICADO;"; ;
Kit 3 camisetas gola polo sortidas masculina;1818404757;P27257S92B2W-0;R$ 135,00;R$ 135,00;6; ;"PUBLICADO;"; ;
Bola Pilates Ziva;1818405127;0759624857018B2W;R$ 109,90;R$ 109,90;0;759624857018;"SE;"; ;
Fone Ouvido Orelha Gatinho Com Fio Cosplay Infantil P2 Led Headphone;1818404554;7899718702220B2W;R$ 93,90;R$ 93,90;0;7899718702220;"SE;"; ;
Kit 3 camisetas gola polo sortidas masculina;1818404757;P27257S92B2W-3;R$ 135,00;R$ 135,00;8; ;"PUBLICADO;"; ;
CÁPSULA DE CAFÉ COMPATÍVEL COM NESPRESSO INTENSIDADE 12 - 10 CÁPSULAS - VÔ LUIZ;1820909359;P27757S85B2W;R$ 29,90;R$ 29,90;0; ;"SE;"; ;
Camiseta Adulto Marshal Patrulha Canina MC;1965763320;P81734S131B2W-1;R$ 44,90;R$ 44,90;8; ;"PUBLICADO;"; ;
Dupla de Quadros da Madame Capricho para decorar, tam. 30cm;2024870107;P102614S197B2W;R$ 109,90;R$ 109,90;15; ;"PUBLICADO;"; ;
AIRFIX - HAWKER TYPHOON 1B CAR DOOR - 1/24;1938439541;P72647S173B2W;R$ 1.400,00;R$ 1.400,00;1; ;"PUBLICADO;"; ;
Moletom Infantil Thor Preta;1985358698;P87252S131B2W-6;R$ 86,90;R$ 86,90;8; ;"PUBLICADO;"; ;
TANGA AMARRAÇÃO FRUFRU BARRA - ESTAMPA INDIANA;2098146066;P109659S66B2W-2;R$ 49,00;R$ 49,00;1; ;"PUBLICADO;"; ;
WEWI - Laranja - Lata 350mL - 12un;2024844072;7898950338044B2W;R$ 71,88;R$ 71,88;30;7898950338044;"PUBLICADO;"; ;
Do Bem - Todo Dia MANGA - Caixa 1L - 12un;2024844187;7898919902903B2W;R$ 98,75;R$ 98,75;30;7898919902903;"PUBLICADO;"; ;
WEWI - Cola - Lata 350mL - 12un;2024844751;7898950338068B2W;R$ 71,88;R$ 71,88;30;7898950338068;"PUBLICADO;"; ;
Bota Masculina em Couro Lux Reta Oposta;2024845745;P101828S204B2W-1;R$ 120,00;R$ 120,00;300; ;"PUBLICADO;"; ;
Pastilha De Freio Dianteira Gm Corsa Celta;2120839644;7898414350421B2W;R$ 27,00;R$ 27,00;6;7898414350421;"PUBLICADO;"; ;
